Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
NFLX,396.72,Put,400.00,04/17/20,4,8.80,9.85,10.90,10.17,1272,260,4.89,50.88%,04/13/20
TSLA,650.95,Call,735.00,04/17/20,4,6.20,6.58,6.95,6.65,1315,269,4.89,113.95%,04/13/20
KGC,6.25,Call,8.00,08/21/20,130,0.55,0.58,0.60,0.55,1599,327,4.89,72.99%,04/13/20
WFC,31.43,Put,28.00,04/24/20,11,0.60,0.65,0.70,0.66,1052,216,4.87,92.88%,04/13/20
CIEN,44.43,Put,43.00,04/17/20,4,0.31,0.46,0.61,0.45,1173,241,4.87,55.33%,04/13/20
AMC,2.08,Put,1.00,05/15/20,32,0.20,0.25,0.30,0.25,1792,368,4.87,396.73%,04/13/20
TPR,14.77,Put,15.00,04/17/20,4,0.60,0.8,1.00,0.72,1083,223,4.86,96.45%,04/13/20
CVX,84.91,Put,84.00,04/17/20,4,1.99,2.21,2.43,2.03,1691,348,4.86,69.88%,04/13/20
AMD,50.94,Put,52.00,04/17/20,4,1.89,1.92,1.95,1.91,1805,372,4.85,61.32%,04/13/20
M,6.16,Call,8.00,05/15/20,32,0.37,0.44,0.50,0.37,6476,1338,4.84,125.68%,04/13/20
TXN,107.67,Put,95.00,09/18/20,158,7.25,7.5,7.75,7.50,522,108,4.83,49.55%,04/13/20
Z,38.44,Put,31.00,04/24/20,11,0.40,0.55,0.70,0.55,1007,209,4.82,119.38%,04/13/20
AAPL,273.25,Put,257.50,04/24/20,11,2.69,2.97,3.25,2.89,1831,380,4.82,46.77%,04/13/20
C,46.68,Put,42.00,04/24/20,11,1.30,1.34,1.38,1.25,637,133,4.79,99.18%,04/13/20
AMZN,2168.87,Call,2190.00,04/17/20,4,26.00,27,28.00,27.00,3430,716,4.79,40.06%,04/13/20
CAT,114.14,Call,116.00,04/17/20,4,1.67,1.9,2.12,2.03,1051,220,4.78,59.47%,04/13/20
ZM,135.92,Call,131.00,04/17/20,4,8.70,9.1,9.50,9.10,957,201,4.76,113.58%,04/13/20
JPM,98.19,Put,93.00,04/17/20,4,1.30,1.49,1.68,1.53,2154,453,4.75,88.73%,04/13/20
CCL,11.5,Call,11.50,04/17/20,4,0.80,0.85,0.90,0.80,2173,459,4.73,166.61%,04/13/20
SABR,5.95,Call,5.00,04/17/20,4,1.10,1.13,1.15,1.10,4130,873,4.73,212.16%,04/13/20
DAL,23.25,Call,27.00,04/24/20,11,0.59,0.65,0.70,0.67,1287,274,4.7,115.95%,04/13/20
SQ,59.42,Put,52.50,01/15/21,277,8.15,8.28,8.40,8.56,2134,454,4.7,62.47%,04/13/20
AAPL,273.25,Put,260.00,04/24/20,11,3.30,3.4,3.50,3.40,4230,901,4.69,45.81%,04/13/20
TSLA,650.95,Put,535.00,04/17/20,4,1.00,1.03,1.05,1.05,1944,415,4.68,106.80%,04/13/20
PTON,31.99,Call,31.50,04/17/20,4,1.61,1.77,1.92,1.68,892,191,4.67,107.09%,04/13/20
HTZ,5.76,Put,4.00,05/15/20,32,0.40,0.45,0.50,0.45,1635,350,4.67,198.99%,04/13/20
TWTR,27.21,Put,26.50,04/17/20,4,0.44,0.49,0.54,0.52,6242,1336,4.67,73.90%,04/13/20
JPM,98.19,Call,101.00,04/17/20,4,2.36,2.93,3.50,2.59,2091,450,4.65,92.03%,04/13/20
MCD,180.12,Call,182.50,04/17/20,4,2.68,2.97,3.25,2.92,608,131,4.64,52.65%,04/13/20
TSLA,650.95,Call,730.00,04/17/20,4,6.85,7.05,7.25,7.20,1498,327,4.58,112.91%,04/13/20
AAPL,273.25,Call,267.50,04/17/20,4,8.10,8.38,8.65,8.45,23164,5069,4.57,44.59%,04/13/20
AVGO,259.92,Call,280.00,05/15/20,32,6.40,6.85,7.30,6.50,2551,566,4.51,44.76%,04/13/20
AAPL,273.25,Put,262.50,04/17/20,4,1.63,1.67,1.70,1.69,8719,1943,4.49,48.95%,04/13/20
ADBE,320.65,Put,280.00,05/15/20,32,3.45,4.35,5.25,4.80,662,148,4.47,52.33%,04/13/20
NFLX,396.72,Call,440.00,04/24/20,11,6.15,6.4,6.65,6.75,803,180,4.46,75.61%,04/13/20
AMZN,2168.87,Put,2050.00,04/17/20,4,4.35,4.45,4.55,4.50,6757,1516,4.46,42.38%,04/13/20
C,46.68,Call,46.00,04/24/20,11,3.05,3.22,3.40,3.40,667,150,4.45,94.78%,04/13/20
JPM,98.19,Put,89.00,04/17/20,4,0.71,0.85,0.99,0.85,1777,399,4.45,97.51%,04/13/20
PCAR,65.93,Put,62.50,04/17/20,4,0.25,0.38,0.50,0.55,1147,260,4.41,65.68%,04/13/20
AMZN,2168.87,Call,2040.00,04/17/20,4,127.50,131.38,135.25,129.93,3420,776,4.41,30.86%,04/13/20
PAA,6.33,Put,4.00,08/21/20,130,0.60,0.8,1.00,0.65,502,114,4.4,131.84%,04/13/20
TSLA,650.95,Put,560.00,04/17/20,4,2.05,2.13,2.20,2.15,7597,1726,4.4,100.30%,04/13/20
NFLX,396.72,Call,395.00,04/24/20,11,22.10,23.73,25.35,24.45,505,115,4.39,85.80%,04/13/20
BABA,199.44,Call,212.50,04/24/20,11,0.62,0.71,0.80,0.72,817,186,4.39,31.83%,04/13/20
AMZN,2168.87,Call,2110.00,04/17/20,4,69.40,71.98,74.55,72.00,2654,605,4.39,38.80%,04/13/20
AMZN,2168.87,Put,2035.00,04/17/20,4,2.83,3.19,3.55,2.95,675,154,4.38,41.79%,04/13/20
JNJ,139.77,Call,146.00,04/17/20,4,0.78,0.87,0.95,0.95,963,220,4.38,52.29%,04/13/20
AMZN,2168.87,Call,2280.00,04/17/20,4,6.55,7,7.45,7.13,1157,264,4.38,43.69%,04/13/20
CHTR,469.7,Call,475.00,05/15/20,32,22.70,25.2,27.70,24.20,501,115,4.36,47.55%,04/13/20
JPM,98.19,Put,99.00,04/17/20,4,3.85,4.13,4.40,3.95,1258,290,4.34,85.97%,04/13/20
TSLA,650.95,Call,610.00,04/17/20,4,48.05,51.35,54.65,51.00,5849,1354,4.32,96.44%,04/13/20
NFLX,396.72,Call,400.00,04/17/20,4,6.80,7,7.20,7.00,26506,6176,4.29,51.18%,04/13/20
PTON,31.99,Call,30.50,04/17/20,4,2.20,2.35,2.49,2.33,988,231,4.28,112.20%,04/13/20
RTX,61.83,Put,60.00,04/17/20,4,1.00,1.15,1.30,1.20,3840,899,4.27,78.08%,04/13/20
LULU,199.27,Call,210.00,04/17/20,4,1.45,1.48,1.50,1.55,5007,1177,4.25,61.52%,04/13/20
GOLD,24.37,Call,27.00,04/17/20,4,0.06,0.1,0.14,0.10,999,236,4.23,76.93%,04/13/20
PSTI,7.91,Call,6.00,04/17/20,4,2.05,2.22,2.40,2.15,2089,494,4.23,308.02%,04/13/20
ZM,135.92,Put,135.00,04/17/20,4,5.80,5.9,6.00,5.80,2627,623,4.22,110.71%,04/13/20
AMD,50.94,Call,54.00,04/17/20,4,0.30,0.32,0.33,0.33,3857,914,4.22,61.04%,04/13/20
CHWY,40.24,Put,37.50,04/17/20,4,0.55,0.58,0.60,0.55,1074,257,4.18,95.66%,04/13/20
NFLX,396.72,Put,385.00,04/17/20,4,4.00,4.25,4.50,4.20,2496,597,4.18,54.37%,04/13/20
UAL,28.91,Call,29.00,04/17/20,4,2.11,2.3,2.50,2.18,1306,313,4.17,184.09%,04/13/20
AMC,2.08,Put,1.50,04/17/20,4,0.10,0.13,0.15,0.15,2557,613,4.17,0.00%,04/13/20
SNAP,13.54,Put,13.50,04/17/20,4,0.40,0.41,0.42,0.40,8326,1999,4.17,74.53%,04/13/20
C,46.68,Put,47.00,04/17/20,4,2.27,2.34,2.40,2.33,1062,256,4.15,111.00%,04/13/20
JPM,98.19,Put,88.00,04/17/20,4,0.61,0.63,0.64,0.64,3134,756,4.15,95.49%,04/13/20
AMZN,2168.87,Call,2300.00,05/01/20,18,36.65,38.55,40.45,37.60,501,121,4.14,44.27%,04/13/20
CERN,65.72,Put,55.00,04/17/20,4,0.00,0.2,0.40,0.15,1671,408,4.1,105.61%,04/13/20
WFC,31.43,Put,32.00,04/17/20,4,1.71,1.81,1.90,1.76,2338,571,4.09,110.31%,04/13/20
AMRN,6.39,Call,7.50,04/24/20,11,0.30,0.35,0.40,0.37,754,185,4.08,168.42%,04/13/20
ROKU,96.56,Call,100.00,04/17/20,4,1.85,1.88,1.90,1.90,20961,5154,4.07,81.33%,04/13/20
CVNA,75.28,Put,80.00,04/17/20,4,5.90,7.3,8.70,8.10,722,178,4.06,167.56%,04/13/20
PTON,31.99,Call,29.50,04/17/20,4,2.87,3.09,3.30,3.04,721,178,4.05,114.45%,04/13/20
ZM,135.92,Call,170.00,04/24/20,11,0.75,0.95,1.15,1.01,1822,451,4.04,94.91%,04/13/20
LGND,90.01,Put,100.00,05/15/20,32,15.30,16.6,17.90,18.19,2000,495,4.04,113.41%,04/13/20
AVGO,259.92,Call,275.00,04/17/20,4,0.90,1.2,1.50,1.00,663,165,4.02,49.85%,04/13/20
AAPL,273.25,Put,272.50,04/17/20,4,4.50,4.65,4.80,4.60,2608,650,4.01,43.76%,04/13/20
DUK,87.36,Put,80.00,05/15/20,32,2.40,2.6,2.80,2.45,516,129,4,54.51%,04/13/20
NFLX,396.72,Call,387.50,04/17/20,4,13.45,14.18,14.90,13.85,1597,399,4,51.36%,04/13/20
MU,46.17,Put,46.00,04/24/20,11,1.85,1.89,1.93,1.93,501,126,3.98,63.44%,04/13/20
ABT,85.85,Call,86.00,04/17/20,4,1.58,1.79,1.99,1.83,601,151,3.98,52.89%,04/13/20
AMZN,2168.87,Call,2045.00,04/17/20,4,123.25,126.73,130.20,131.37,1118,281,3.98,50.03%,04/13/20
XOM,42.76,Call,44.00,04/24/20,11,1.12,1.25,1.37,1.34,1621,407,3.98,62.90%,04/13/20
CMCSA,37.19,Put,33.00,04/24/20,11,0.05,0.24,0.42,0.29,500,126,3.97,64.90%,04/13/20
VZ,56.67,Call,60.00,05/15/20,32,0.50,0.55,0.61,0.53,20831,5241,3.97,24.40%,04/13/20
AAPL,273.25,Call,280.00,04/17/20,4,1.85,1.9,1.95,1.92,59152,14884,3.97,38.97%,04/13/20
SIX,14.7,Call,15.00,05/15/20,32,2.15,2.25,2.35,2.16,622,157,3.96,131.93%,04/13/20
YPF,4,Call,5.00,05/15/20,32,0.20,0.23,0.25,0.20,1144,290,3.94,106.82%,04/13/20
BA,147.33,Put,149.00,04/17/20,4,6.80,7.35,7.90,7.70,1433,364,3.94,110.69%,04/13/20
AAPL,273.25,Call,267.50,04/24/20,11,10.75,11.03,11.30,11.17,2802,712,3.94,42.18%,04/13/20
AMZN,2168.87,Call,2200.00,04/17/20,4,22.50,23.25,24.00,22.82,16916,4301,3.93,39.63%,04/13/20
AMD,50.94,Put,50.00,04/17/20,4,0.95,0.98,1.00,0.96,23272,5916,3.93,65.61%,04/13/20
DIS,103.5,Call,125.00,06/19/20,67,1.51,1.62,1.73,1.43,9916,2539,3.91,40.57%,04/13/20
MRO,4.39,Put,4.50,04/17/20,4,0.26,0.31,0.35,0.31,1363,350,3.89,135.65%,04/13/20
TSLA,650.95,Call,750.00,04/24/20,11,16.50,16.75,17.00,16.80,1399,360,3.89,107.34%,04/13/20
TSLA,650.95,Put,625.00,04/17/20,4,14.60,14.85,15.10,14.90,3272,841,3.89,97.13%,04/13/20
ED,84.84,Put,75.00,05/15/20,32,1.10,1.63,2.15,1.70,505,130,3.88,55.61%,04/13/20
MGM,13.91,Call,32.00,09/18/20,158,0.10,0.21,0.32,0.15,603,156,3.87,71.19%,04/13/20
AMD,50.94,Put,48.00,04/24/20,11,1.12,1.15,1.18,1.13,4438,1146,3.87,67.65%,04/13/20
SYY,47.05,Put,40.00,05/15/20,32,2.40,2.45,2.50,2.46,6176,1603,3.85,103.10%,04/13/20
AMZN,2168.87,Call,2100.00,04/17/20,4,76.75,78.63,80.50,79.00,16596,4347,3.82,37.80%,04/13/20
AAPL,273.25,Put,270.00,04/24/20,11,6.35,6.53,6.70,6.40,2736,720,3.8,42.38%,04/13/20
ZM,135.92,Call,152.50,04/17/20,4,1.20,1.48,1.75,1.30,734,194,3.78,107.66%,04/13/20
JPM,98.19,Put,92.50,04/17/20,4,1.30,1.55,1.80,1.40,1394,370,3.77,89.12%,04/13/20
SBUX,71.76,Put,71.00,04/17/20,4,1.40,1.49,1.58,1.54,1616,429,3.77,63.77%,04/13/20
PEP,130.89,Call,140.00,05/15/20,32,1.56,1.78,2.00,1.92,5898,1570,3.76,32.65%,04/13/20
DAL,23.25,Call,23.00,04/24/20,11,1.50,1.82,2.13,2.10,814,217,3.75,123.11%,04/13/20
BAC,23.92,Call,25.50,04/24/20,11,0.64,0.66,0.68,0.67,1494,398,3.75,76.51%,04/13/20
TSLA,650.95,Call,895.00,04/17/20,4,0.46,0.66,0.85,0.86,531,142,3.74,147.85%,04/13/20
UAL,28.91,Put,26.00,04/17/20,4,0.94,1.03,1.12,1.07,2932,785,3.74,195.09%,04/13/20
AMD,50.94,Put,48.00,04/17/20,4,0.42,0.44,0.45,0.43,25486,6823,3.74,70.32%,04/13/20
AMZN,2168.87,Call,2150.00,04/24/20,11,73.00,75.5,78.00,77.00,963,259,3.72,44.59%,04/13/20
APA,8.38,Put,7.00,04/24/20,11,0.35,0.4,0.45,0.45,948,256,3.7,187.60%,04/13/20
AAPL,273.25,Call,275.00,04/24/20,11,6.55,6.68,6.80,6.70,3997,1084,3.69,39.46%,04/13/20
TSLA,650.95,Put,550.00,04/17/20,4,1.55,1.57,1.58,1.55,13714,3715,3.69,101.91%,04/13/20
TSLA,650.95,Call,725.00,04/17/20,4,7.00,7.6,8.20,8.00,1905,518,3.68,112.94%,04/13/20
AMD,50.94,Call,53.00,05/01/20,18,1.93,2.08,2.23,2.06,752,205,3.67,64.43%,04/13/20
TSLA,650.95,Call,630.00,04/17/20,4,35.00,37,39.00,38.00,8404,2288,3.67,97.79%,04/13/20
NFLX,396.72,Put,370.00,04/17/20,4,1.65,1.69,1.74,1.69,6529,1803,3.62,60.92%,04/13/20
MGM,13.91,Put,12.50,04/24/20,11,0.28,0.48,0.67,0.63,727,203,3.58,132.54%,04/13/20
WFC,31.43,Call,37.00,04/17/20,4,0.15,0.16,0.17,0.18,1779,497,3.58,117.38%,04/13/20
TSLA,650.95,Call,580.00,04/17/20,4,71.20,74.95,78.70,74.22,3506,984,3.56,90.90%,04/13/20
TSLA,650.95,Call,620.00,04/24/20,11,58.40,62.7,67.00,62.75,604,171,3.53,103.45%,04/13/20
NYMT,2.2,Put,2.50,07/17/20,95,0.80,0.83,0.85,0.80,3018,854,3.53,137.89%,04/13/20
FTCH,10.61,Call,12.00,05/15/20,32,0.50,0.58,0.65,0.58,1053,301,3.5,85.60%,04/13/20
UBER,27.99,Put,25.00,04/24/20,11,0.73,0.77,0.81,0.75,1750,500,3.5,102.82%,04/13/20
WFC,31.43,Put,31.50,04/17/20,4,1.51,1.57,1.62,1.50,1552,446,3.48,111.72%,04/13/20
AAL,11.56,Call,11.50,04/24/20,11,1.35,1.43,1.50,1.35,1576,453,3.48,165.57%,04/13/20
ZM,135.92,Call,135.00,04/17/20,4,6.50,6.85,7.20,6.80,5783,1663,3.48,111.76%,04/13/20
TSLA,650.95,Call,800.00,04/24/20,11,9.80,10.08,10.35,10.35,1031,297,3.47,111.77%,04/13/20
NVDA,269.85,Put,247.50,04/17/20,4,1.10,1.26,1.41,1.30,1065,307,3.47,73.57%,04/13/20
HPQ,15.54,Call,16.00,04/17/20,4,0.15,0.25,0.35,0.26,1294,373,3.47,68.72%,04/13/20
NFLX,396.72,Call,395.00,04/17/20,4,9.05,9.48,9.90,9.53,4944,1423,3.47,52.09%,04/13/20
ET,5.96,Put,5.00,05/08/20,25,0.19,0.25,0.30,0.30,1226,354,3.46,118.92%,04/13/20
AMZN,2168.87,Call,2080.00,04/17/20,4,93.15,95.6,98.05,97.00,2989,864,3.46,40.82%,04/13/20
SNAP,13.54,Put,13.00,04/24/20,11,0.80,0.82,0.83,0.81,935,273,3.42,115.62%,04/13/20
HD,198.79,Put,187.50,04/17/20,4,1.00,1.21,1.41,1.10,1064,311,3.42,59.13%,04/13/20
AMRN,6.39,Put,6.00,04/17/20,4,0.36,0.38,0.40,0.38,2725,799,3.41,214.52%,04/13/20
CAT,114.14,Call,117.00,04/17/20,4,1.45,1.51,1.56,1.61,514,151,3.4,58.13%,04/13/20
NFLX,396.72,Call,382.50,04/17/20,4,17.00,17.68,18.35,17.66,1043,307,3.4,53.64%,04/13/20
FSLR,40.61,Call,42.00,04/17/20,4,0.46,0.61,0.75,0.53,4106,1219,3.37,62.88%,04/13/20
PTON,31.99,Put,31.00,04/17/20,4,0.98,1.03,1.08,0.98,929,277,3.35,108.21%,04/13/20
AMZN,2168.87,Call,2030.00,04/17/20,4,137.20,140.7,144.20,140.90,2790,834,3.35,38.31%,04/13/20
FIVN,79.96,Call,90.00,05/15/20,32,1.65,1.83,2.00,1.93,503,151,3.33,55.30%,04/13/20
JNJ,139.77,Call,148.00,04/17/20,4,0.52,0.58,0.64,0.58,589,178,3.31,51.58%,04/13/20
AAPL,273.25,Call,287.50,04/24/20,11,1.76,1.85,1.93,1.88,990,299,3.31,34.55%,04/13/20
MSFT,165.51,Put,80.00,09/16/22,886,3.70,3.8,3.90,3.75,2157,652,3.31,40.26%,04/13/20
C,46.68,Call,49.00,04/17/20,4,1.17,1.27,1.36,1.20,12540,3788,3.31,108.32%,04/13/20
CODX,9.93,Call,9.00,05/15/20,32,2.75,2.88,3.00,3.00,591,179,3.3,228.32%,04/13/20
KNDI,3.78,Call,4.00,04/17/20,4,0.15,0.18,0.20,0.20,1118,339,3.3,183.09%,04/13/20
TSLA,650.95,Put,530.00,04/17/20,4,0.88,0.96,1.03,0.89,5916,1791,3.3,107.76%,04/13/20
JPM,98.19,Put,97.00,04/17/20,4,2.90,3.05,3.20,2.94,790,240,3.29,86.14%,04/13/20
MO,40.44,Put,30.00,05/15/20,32,0.28,0.37,0.45,0.37,931,283,3.29,78.25%,04/13/20
RCL,33.37,Call,200.00,01/15/21,277,0.08,0.1,0.12,0.10,2179,662,3.29,80.85%,04/13/20
INSG,10.38,Call,12.50,04/17/20,4,0.10,0.13,0.15,0.15,927,283,3.28,168.18%,04/13/20
PTON,31.99,Call,33.00,04/17/20,4,0.85,0.93,1.00,0.95,1658,505,3.28,102.88%,04/13/20
DAL,23.25,Put,22.00,04/24/20,11,1.37,1.42,1.46,1.46,1767,539,3.28,129.74%,04/13/20
NVDA,269.85,Call,267.50,04/17/20,4,7.85,8.18,8.50,8.16,1432,438,3.27,61.50%,04/13/20
CAR,14.79,Call,17.00,05/15/20,32,2.05,2.13,2.20,2.00,701,215,3.26,159.86%,04/13/20
FB,174.79,Call,182.50,04/17/20,4,0.51,0.57,0.63,0.63,4351,1336,3.26,40.87%,04/13/20
AAPL,273.25,Put,270.00,05/01/20,18,9.55,9.93,10.30,9.85,913,281,3.25,47.77%,04/13/20
AMC,2.08,Call,2.50,04/17/20,4,0.10,0.13,0.15,0.15,1564,481,3.25,333.63%,04/13/20
GOLD,24.37,Call,25.00,05/15/20,32,1.40,1.45,1.50,1.50,3733,1147,3.25,61.30%,04/13/20
KSS,18.79,Put,20.00,05/15/20,32,2.90,3.4,3.90,3.20,551,170,3.24,112.52%,04/13/20
JNJ,139.77,Put,138.00,04/17/20,4,2.38,3.47,4.55,2.55,983,304,3.23,58.12%,04/13/20
EPD,16.73,Call,19.00,06/19/20,67,0.60,0.7,0.80,0.77,754,234,3.22,54.24%,04/13/20
AMD,50.94,Call,52.00,04/24/20,11,1.68,1.7,1.72,1.71,2812,874,3.22,61.48%,04/13/20
AMZN,2168.87,Call,2035.00,04/17/20,4,130.75,135.7,140.65,138.51,1324,412,3.21,45.93%,04/13/20
BABA,199.44,Call,207.50,04/24/20,11,1.54,1.64,1.74,1.62,1473,460,3.2,32.19%,04/13/20
WFC,31.43,Call,33.50,04/17/20,4,0.73,0.77,0.81,0.79,6501,2032,3.2,119.39%,04/13/20
BA,147.33,Call,148.00,04/17/20,4,6.50,6.63,6.75,6.60,1009,316,3.19,112.27%,04/13/20
NFLX,396.72,Call,390.00,04/17/20,4,11.85,12.48,13.10,12.70,11660,3653,3.19,54.20%,04/13/20
PTON,31.99,Call,35.00,04/24/20,11,0.79,0.86,0.93,0.86,703,221,3.18,86.94%,04/13/20
ZM,135.92,Call,150.00,04/17/20,4,1.65,1.75,1.85,1.70,9653,3039,3.18,107.78%,04/13/20
GOOG,1217.56,Call,1680.00,06/19/20,67,0.05,0.33,0.60,0.59,1000,315,3.17,31.58%,04/13/20
TECK,8.3,Call,7.50,04/17/20,4,0.00,0.5,1.00,0.90,2546,806,3.16,112.04%,04/13/20
AAL,11.56,Call,12.50,05/01/20,18,1.18,1.26,1.34,1.29,560,178,3.15,161.98%,04/13/20
BYND,76.67,Call,84.00,04/24/20,11,1.79,1.86,1.92,1.77,1101,349,3.15,81.20%,04/13/20
GOLD,24.37,Put,23.00,05/15/20,32,1.00,1.1,1.20,1.17,1453,463,3.14,63.86%,04/13/20
DOCU,93.97,Call,95.00,04/17/20,4,2.60,2.68,2.75,2.78,7544,2401,3.14,82.72%,04/13/20
CSCO,41.22,Call,42.00,05/08/20,25,1.01,1.26,1.50,1.35,841,269,3.13,39.04%,04/13/20
TSLA,650.95,Put,540.00,04/17/20,4,1.10,1.15,1.20,1.17,5867,1874,3.13,104.72%,04/13/20
DAL,23.25,Call,25.00,04/17/20,4,0.67,0.68,0.68,0.68,13584,4335,3.13,137.26%,04/13/20
AMZN,2168.87,Put,2080.00,04/17/20,4,7.60,7.8,8.00,7.85,3244,1042,3.11,40.89%,04/13/20
OI,6.8,Call,9.00,05/15/20,32,0.25,0.28,0.30,0.29,2042,658,3.1,112.45%,04/13/20
CHWY,40.24,Put,40.00,04/17/20,4,1.30,1.38,1.45,1.45,1347,436,3.09,93.74%,04/13/20
FB,174.79,Put,172.50,04/17/20,4,2.24,2.32,2.40,2.35,3696,1198,3.09,46.65%,04/13/20
SABR,5.95,Call,7.50,05/15/20,32,0.35,0.45,0.55,0.40,778,253,3.08,125.28%,04/13/20
TSCO,89.67,Put,65.00,10/16/20,186,2.90,3.1,3.30,3.20,1314,428,3.07,54.19%,04/13/20
MRNA,32.9,Call,40.00,05/15/20,32,1.70,1.73,1.75,1.75,1913,624,3.07,103.15%,04/13/20
AMD,50.94,Call,55.00,04/24/20,11,0.65,0.68,0.71,0.70,3294,1077,3.06,58.38%,04/13/20
ZM,135.92,Call,145.00,04/17/20,4,2.55,2.72,2.90,2.80,4945,1614,3.06,107.90%,04/13/20
GILD,75.28,Call,81.00,04/17/20,4,0.35,0.44,0.52,0.42,1747,572,3.05,66.96%,04/13/20
TSLA,650.95,Put,500.00,04/24/20,11,5.50,5.6,5.70,5.63,2141,703,3.05,119.25%,04/13/20
BYND,76.67,Put,74.00,04/17/20,4,1.83,1.98,2.12,2.06,511,168,3.04,102.57%,04/13/20
RCL,33.37,Put,34.00,04/17/20,4,3.00,3.08,3.15,3.03,1746,575,3.04,192.71%,04/13/20
TSLA,650.95,Call,710.00,04/17/20,4,8.50,9.4,10.30,10.10,1790,589,3.04,109.49%,04/13/20
CCL,11.5,Put,11.00,04/24/20,11,1.05,1.08,1.10,1.10,1836,603,3.04,172.33%,04/13/20
WFC,31.43,Put,28.00,04/17/20,4,0.39,0.4,0.40,0.40,3276,1077,3.04,124.92%,04/13/20
MS,39.58,Put,32.00,05/15/20,32,0.81,0.89,0.96,0.94,1076,355,3.03,83.60%,04/13/20
HAL,7.85,Put,7.50,01/15/21,277,1.95,2.17,2.38,2.18,5027,1661,3.03,92.46%,04/13/20
AAPL,273.25,Call,285.00,04/17/20,4,0.79,0.81,0.83,0.83,27356,9030,3.03,37.96%,04/13/20
ZM,135.92,Call,132.00,04/17/20,4,8.10,8.6,9.10,8.82,574,191,3.01,119.24%,04/13/20
AMZN,2168.87,Call,2060.00,04/17/20,4,110.30,115.13,119.95,112.50,1786,593,3.01,36.58%,04/13/20
AAL,11.56,Call,15.00,04/24/20,11,0.05,0.21,0.37,0.34,4679,1555,3.01,159.76%,04/13/20
MSFT,165.51,Put,162.50,05/01/20,18,5.05,5.23,5.40,5.80,662,221,3,49.97%,04/13/20
AAPL,273.25,Call,262.50,04/24/20,11,14.30,14.65,15.00,14.55,913,304,3,42.99%,04/13/20
AAPL,273.25,Put,255.00,04/24/20,11,2.26,2.46,2.65,2.48,1950,650,3,47.96%,04/13/20
TSLA,650.95,Put,490.00,04/24/20,11,4.50,4.8,5.10,4.80,607,203,2.99,121.07%,04/13/20
C,46.68,Call,72.50,01/21/22,648,3.00,3.1,3.20,2.92,1168,391,2.99,36.14%,04/13/20
AMD,50.94,Put,50.00,05/08/20,25,3.00,3.13,3.25,3.20,778,261,2.98,69.83%,04/13/20
CVX,84.91,Put,82.00,04/17/20,4,1.29,1.39,1.49,1.40,584,197,2.96,74.76%,04/13/20
AAPL,273.25,Put,257.50,04/17/20,4,0.76,0.91,1.06,0.99,5220,1765,2.96,51.78%,04/13/20
AMD,50.94,Call,56.00,04/17/20,4,0.10,0.11,0.11,0.11,2239,759,2.95,61.74%,04/13/20
AMD,50.94,Call,50.00,04/24/20,11,2.68,2.74,2.80,2.74,7267,2464,2.95,63.75%,04/13/20
XOM,42.76,Call,45.50,04/17/20,4,0.11,0.28,0.45,0.33,885,301,2.94,67.79%,04/13/20
UAA,9.81,Put,10.00,05/15/20,32,1.21,1.25,1.29,1.25,700,239,2.93,99.47%,04/13/20
NVDA,269.85,Call,272.50,04/17/20,4,5.20,5.48,5.75,5.50,1228,420,2.92,59.39%,04/13/20
TSLA,650.95,Put,550.00,04/24/20,11,11.80,12.03,12.25,11.95,1017,350,2.91,110.66%,04/13/20
PBR,6.71,Put,6.50,04/17/20,4,0.16,0.2,0.23,0.25,1190,409,2.91,125.28%,04/13/20
WFC,31.43,Call,45.00,10/16/20,186,0.39,0.5,0.60,0.55,2206,759,2.91,39.84%,04/13/20
AVGO,259.92,Put,250.00,05/15/20,32,11.10,11.45,11.80,11.18,543,187,2.9,52.45%,04/13/20
AMT,249.76,Call,280.00,07/17/20,95,6.40,7.45,8.50,8.50,583,201,2.9,36.84%,04/13/20
FB,174.79,Put,150.00,05/01/20,18,1.34,1.47,1.59,1.50,982,339,2.9,62.26%,04/13/20
TSLA,650.95,Call,560.00,05/15/20,32,121.80,123.9,126.00,122.00,994,343,2.9,93.31%,04/13/20
RAD,14.16,Call,14.50,04/17/20,4,1.36,1.39,1.41,1.36,538,186,2.89,255.26%,04/13/20
AMD,50.94,Put,49.00,04/24/20,11,1.40,1.43,1.46,1.41,2457,850,2.89,65.25%,04/13/20
GOOGL,1210.41,Call,1250.00,04/17/20,4,4.50,5.6,6.70,6.10,1888,656,2.88,38.73%,04/13/20
BAC,23.92,Call,26.50,04/17/20,4,0.17,0.19,0.20,0.20,9269,3221,2.88,95.42%,04/13/20
DVN,9.71,Put,9.00,04/17/20,4,0.33,0.37,0.40,0.38,680,237,2.87,173.63%,04/13/20
TSLA,650.95,Call,775.00,04/17/20,4,3.10,3.43,3.75,3.50,771,269,2.87,121.23%,04/13/20
NCLH,11.36,Put,2.50,09/18/20,158,0.40,0.43,0.45,0.40,1270,442,2.87,204.71%,04/13/20
TSLA,650.95,Put,565.00,04/17/20,4,2.19,2.38,2.57,2.38,1911,666,2.87,98.08%,04/13/20
CCL,11.5,Call,11.50,04/24/20,11,1.25,1.3,1.35,1.30,615,215,2.86,163.50%,04/13/20
